player_id,match_id,goals,marks,tackles,disposals
1283,1,2,6,3,28
1316,1,1,10,10,29
1318,1,0,10,3,20
1292,1,0,10,1,23
1317,1,1,3,0,10
1296,1,3,10,3,12
1285,1,1,4,3,17
1299,1,0,7,3,32
1305,1,1,6,6,30
1300,1,1,7,1,25
1284,1,3,9,8,38
1309,1,1,6,3,19
1288,1,1,10,2,32
1319,1,4,9,4,16
1311,1,1,3,8,21
1302,1,1,4,6,23
1306,1,0,12,7,29
1314,1,0,7,1,23
1215,1,1,4,2,39
1240,1,3,6,7,25
1220,1,0,4,6,10
1236,1,1,9,6,25
1234,1,2,9,4,18
1235,1,2,8,2,24
1202,1,1,6,3,22
1205,1,4,5,3,16
1221,1,0,7,7,29
1206,1,1,8,4,20
1239,1,2,2,5,20
1218,1,1,8,5,15
1207,1,0,7,5,40
1210,1,3,3,5,16
1238,1,0,6,5,30
1228,1,2,10,7,13
1213,1,1,4,0,12
1219,1,3,10,2,36
1696,2,0,11,10,16
1701,2,1,8,6,18
1713,2,0,12,2,28
1719,2,0,2,0,24
1703,2,1,4,2,21
1691,2,0,9,5,22
1689,2,2,2,3,22
1712,2,1,6,5,24
1685,2,1,4,7,29
1717,2,0,4,2,27
1716,2,0,4,2,19
1698,2,3,7,3,27
1694,2,1,7,4,24
1695,2,0,8,3,10
1720,2,0,4,5,25
1705,2,1,3,2,24
1708,2,2,4,3,28
1687,2,1,10,5,40
1058,2,0,4,3,16
1047,2,2,9,6,23
1070,2,0,9,5,25
1078,2,1,4,6,23
1052,2,0,10,5,21
1072,2,1,3,3,40
1075,2,1,8,9,15
1049,2,1,9,4,15
1048,2,1,5,6,12
1043,2,2,6,3,37
1079,2,0,9,10,20
1042,2,0,7,3,27
1071,2,4,8,2,13
1066,2,2,2,4,21
1073,2,3,6,7,21
1067,2,1,6,5,22
1057,2,2,9,1,12
1054,2,2,6,4,12
1549,3,0,10,7,29
1527,3,1,12,7,19
1541,3,2,9,0,17
1533,3,2,6,7,23
1556,3,0,5,5,11
1555,3,0,10,7,38
1524,3,0,4,8,20
1528,3,3,9,3,12
1560,3,0,5,4,19
1525,3,0,9,2,20
1523,3,1,9,4,34
1550,3,2,3,5,17
1551,3,3,8,3,16
1544,3,0,4,9,24
