match_id,season,round_number,match_date,home_team_id,away_team_id,home_score,away_score,winner_team_id
1,2023,1,2023-03-01,14,2,87,102,2
2,2023,1,2023-03-01,5,6,78,111,6
3,2023,1,2023-03-01,10,9,82,107,9
4,2023,1,2023-03-01,1,16,105,114,16
5,2023,1,2023-03-01,12,13,104,103,12
6,2023,1,2023-03-01,4,7,123,88,4
7,2023,1,2023-03-01,11,3,120,85,11
8,2023,1,2023-03-01,15,8,107,89,15
9,2023,1,2023-03-01,17,18,69,80,18
10,2023,2,2023-03-08,17,1,75,81,1
11,2023,2,2023-03-08,9,3,79,91,3
12,2023,2,2023-03-08,16,18,107,77,16
13,2023,2,2023-03-08,6,7,91,84,6
14,2023,2,2023-03-08,15,8,96,107,8
15,2023,2,2023-03-08,14,4,106,99,14
16,2023,2,2023-03-08,5,2,96,109,2
17,2023,2,2023-03-08,11,10,92,78,11
18,2023,2,2023-03-08,12,13,88,81,12
19,2023,3,2023-03-15,5,17,99,64,5
20,2023,3,2023-03-15,3,7,103,97,3
21,2023,3,2023-03-15,2,8,99,82,2
22,2023,3,2023-03-15,9,4,100,99,9
23,2023,3,2023-03-15,12,10,77,97,10
24,2023,3,2023-03-15,11,1,97,90,11
25,2023,3,2023-03-15,13,18,98,114,18
26,2023,3,2023-03-15,6,15,108,84,6
27,2023,3,2023-03-15,16,14,123,67,16
28,2023,4,2023-03-22,10,18,107,75,10
29,2023,4,2023-03-22,5,12,110,78,5
30,2023,4,2023-03-22,6,15,92,108,15
31,2023,4,2023-03-22,9,16,92,84,9
32,2023,4,2023-03-22,3,13,108,104,3
33,2023,4,2023-03-22,7,17,87,76,7
34,2023,4,2023-03-22,8,2,77,91,2
35,2023,4,2023-03-22,14,11,93,101,11
36,2023,4,2023-03-22,4,1,123,72,4
37,2023,5,2023-03-29,5,12,86,104,12
38,2023,5,2023-03-29,1,10,114,105,1
39,2023,5,2023-03-29,18,7,99,111,7
40,2023,5,2023-03-29,15,16,100,86,15
41,2023,5,2023-03-29,11,3,92,117,3
42,2023,5,2023-03-29,13,9,101,110,9
43,2023,5,2023-03-29,14,17,90,66,14
44,2023,5,2023-03-29,4,2,123,90,4
45,2023,5,2023-03-29,8,6,104,99,8
